Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Annotator,Employer Provided Salary:$42K - $44K,"Weir Motion Metrics is a Canadian mining technology division that enables a new generation of safe, smart, and sustainable mining. Based in Vancouver, B.C., the company joined forces with Weir, one of the world’s leading engineering businesses, to empower mines by developing and deploying advanced monitoring solutions that address the industry’s toughest challenges.
We are looking for a Data Annotator in our AI Research Department - Image Labelling Team.
Responsibilities
Communicate effectively with team leads to acquire and understand the requirements for data
annotation
Use software applications and good visual judgment to select frames from videos, and highlight",-1,Weir Motion Metrics,Remote,-1,-1,-1,-1,-1,-1
"Data Scientist, QuBIT",Employer Provided Salary:$119K - $160K,"M.S. or equivalent in Statistics, Mathematics, Operations Research, Engineering, Computer Science, or related analytical disciplines.
Deep understanding of regression modeling, forecasting techniques, time series analysis, machine-learning concepts such as supervised/unsupervised learning, in-depth knowledge of tree-based ensemble models, etc.
Excellent in using statistical, visualization, and machine-learning tools and commercial packages
Proficiency in using SQL as applied to big data: extraction, processing, filtering, and presenting large data quantities (100K to Millions of rows) via AWS technologies and data pipelines
Excellent one or more scripting languages (e.g., Python, R, Java, C++, etc.)
Ability to communicate technical concepts and solutions at a level appropriate for technical and non-technical audiences.
Job summary
Amazon's Quantitative Business Intelligence Tools (QuBIT) team is looking for motivated individuals with strong analytical and science skills to evolve one of the most complex supply-chain systems in the world.

Amazon’s supply-chain comprises thousands of fixed infrastructure nodes with millions of possible connections between them. Billions of packages flow through this network on a yearly basis, making the impact of optimal improvements truly innovative. This job offers is a terrific opportunity to analyze Amazon data and understand, model, optimize, and reshape one of the world's most supply-chains.

Your main focus will be on developing predictive models for critical planning entities; analyzing large amount of data to identify and evaluate opportunities to improve customer experience, network speed, cost and efficiency; and presenting the results to non-technical audience with the aid of visualization tools. You will leverage optimization approaches to evaluate trade-offs between potentially competing business objectives and improve decision-making. You will identify effective metrics to quantify the improvements resulting from the application of your developed tools.

The ideal candidate will demonstrate deep understanding of statistical and machine learning concepts, technical skills for leveraging analytical tools to solve large scale problems, aptitude to remain abreast with data science related technologies and excitement to take iterative approaches to tackle long-term challenges. The successful candidate will have good communication skills and ability to speak at a level appropriate for the audience; will collaborate effectively with fellow scientists, data/software engineers, and product/program managers; and will deliver business value in a close partnership with many stakeholders from operations, finance and software-engineering.

Key job responsibilities
In this role, you'll be expected to work on well defined business problems related to Amazon Fulfillment Center Operations (labor planning, capacity planning, etc) and use the appropriate data science techniques to design and implement a workable solution for them. You'll also work alongside the product/program managers to define the success criteria for the solution and set up the appropriate tracking/reporting mechanisms.

About the team
The science team within QuBIT comprises 6 data scientists coming from a diverse background! Our mission is to continuously evolve our operations by developing robust and well-researched science solutions. Outside of constantly adding business value through those solutions, our team keeps abreast of evolving science field by learning new concepts and algorithms dedicatedly every week, and we share the knowledge across team members through monthly learning sessions!

The base pay range for this position in Colorado is $ 119,300 - $160,000 a year; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.8,"Amazon.com Services LLC
3.8",Remote,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$80K - $100K,"Overview:
The Data Scientist will understand and utilize healthcare data to define, develop, and implement solutions for business decisions. In this role, you will leverage advanced analytical software, big data, and machine learning techniques to drive initiatives and identify opportunities for patients to safely heal within the home. You are required to have a strong understanding of the healthcare ecosystem and determine opportunities to apply CareCentrix’s business model and values to challenge historical trends of facility-based care. You will identfiy opportunities to heal at home using mathematical and statistical findings, and provide that information business partners and stakeholders.
Responsibilities:
In this role you will:
Develop relevant technologies and applications within the healthcare space using machine learning and big data analytics.
Qualifications:",3.4,"CareCentrix
3.4",Remote,1001 to 5000 Employees,1996,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Data Scientist with Python,Employer Provided Salary:$19 - $67 Per Hour,"Senior data scientist will be responsible for the development & deployment of state of art ML algorithms for
enterprise level demand forecasting. This position requires development of ML/AI driven technical solution, build,
deployment and run of the Forecast Engine Utility (FEU). FEU uses machine learning to produce one volume forecast
for CD and SC demand with the target of 80% of volume being no touch. key responsibility, is monitoring,
maintaining performance, designing changes and upgrades. Ensuring new builds meet design standards.
The Senior Data Scientist improves business performance in the functional area of they serve, through the
application of world class data science capability. They own planning and delivery of data science on moderate
projects or specific modules of a major global initiative.Development & Deployment of state of art ML/AI models for timeseries demand forecasting",-1,Techladder,Remote,-1,-1,-1,-1,-1,-1
Full Time --Data Scientist --100% Remote,Employer Provided Salary:$140K - $160K,"Direct hire or contract-100% REMOTE
Job Responsibilities
Min 4+ yrs exp, required - Pyspark, Python, AWS and sage maker - nice to have
Develop predictive analytic solutions that enables data-driven strategic decision-making;
utilize data science techniques to manipulate large structured and unstructured data sets
identify patterns in raw data, and develop models to predict the likelihood of a future outcome and/or to optimize business solutions.
solid knowledge of predictive analytics techniques while continuing to learn how to apply techniques to business issues.",-1,"JADE BUSINESS SERVICES, LLC",Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$125K - $170K,"Rec Room is the best place to build and play games together. Chat, hang out, explore MILLIONS of rooms, or build something new to share with us all! As a Senior Product Data Scientist at Rec Room, you will be responsible for a large strategic area and will use data to be an advocate for our players. Your insights into what users are doing on the platform will inform broader team strategy and impact their short and long-term roadmap. You'll be equal parts leader, investigator, and storyteller, shaping experiences towards delighting players and building a sustainable business.
As we scale, Product Data Scientists will embed within individual teams, and as the Senior Product Data Scientist, you would be expected to drive product thinking at the broader team level and guide other data scientists as needed. You might be helping the econ team think through how to scale the buyer and builder ecosystem, or helping the growth team think through how to give users more reason to return to the app. You might also help the User Generated Content team think through how to enable creators to build the best products, or the social team how to make a player's experience more meaningful. The questions and potential for impact are huge.",-1,Rec Room,"Seattle, WA",-1,-1,-1,-1,-1,-1
Optimization Data Scientist,Employer Provided Salary:$55 - $70 Per Hour,"Job Title: Optimization Data Scientist
Location: Remote
Duration: 6 month CTH
LinkedIn Required
Optimization Data Scientist with a minimum of 5 years of experience, data analytics, operation research, engineering, mathematics, etc. xtensive experience with one or more data science programming languages (Python, R, etc.) and optimization solvers (Gurobi, Cplex, LovalSolver).
Big Data technologies (e.g. Spark, Hadoop: MapReduce, Hive and Pig).
Cloud-based platforms and technologies (Snowflake, GCP, Azure, AWS).
Experience in deploying optimization and data science solutions in a business environment.",-1,zettalogix.Inc,Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Associate Data Scientist,Employer Provided Salary:$55K - $75K,"WASHINGTON, DC - REMOTE FLEXIBILITY /
DATA SCIENCE /
FULL TIME
At MissionWired, we help clients create revolutionary digital strategies that advance their mission, change our country, and have a positive impact on the world.
We’re digital-obsessed, tech-savvy do-gooders who care deeply about social change. We’ve brought digital strategies to life for nonprofit organizations working around the world, including Save the Children, Sandy Hook Promise, and Friends of the Earth, as well as progressive political organizations, campaigns and candidates. This cycle, we're excited to support the DGA in flipping and protecting governorships across the country while expanding the Democratic majority in the Senate via our work with the DSCC, Sen. Raphael Warnock, Rep. Val Demings, Sen. Catherine Cortez Masto and Sen. Maggie Hassan.",2.6,"MissionWired
2.6","Washington, DC",51 to 200 Employees,2007,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Scientist (remote),Employer Provided Salary:$70K - $110K,"Location:
For Those Who Work At Home - Various, Ohio 44145
ABOUT THE JOB
The Decision Sciences team sits within Enterprise Analytics Organization to support the advanced analytics and modeling needs for sales, marketing, finance, digital, financial wellness, and operations of Key Bank’s retail bank. Our quantitative analysts/data scientists work directly with business, functional and other analytics teams to solve complex and unique business problems by building state-of-the-art models and tools to support business growth and improve customer experience.

Under some supervision, the Senior Data Scientist is primarily responsible for the development, validation, documentation, and measurement of complex and high-impact statistical and machine learning models, leveraging cutting edge quantitative and computational techniques and technologies. This requires the associate to have in-depth knowledge of advanced statistical, mathematical and machine learning techniques as well as proficiency in programming using open-source languages. The ideal candidate should be able to work effectively with internal clients to better understand their business needs, dissect complex problems, propose appropriate quantitative solutions, analyze the needs and behaviors of present and prospective customers, and develop data-driven solutions to improve customer experience and achieve business objectives.",3.8,"KeyBank
3.8",Remote,10000+ Employees,1849,Company - Public,Banks & Credit Unions,Finance,$5 to $10 billion (USD)
Data Scientist,Employer Provided Salary:$100K - $120K,"Announcement
Details
Open Date
03/23/2022

Requisition Number
PRN29853B

Job Title
Data Scientist",4.3,"University of Utah
4.3","Salt Lake City, UT",10000+ Employees,1850,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
Data Scientist,Employer Provided Salary:$132K - $155K,"Remote Home Office
Do you want to empower organizations to fairly and equitably hire, promote, retain and compensate their employees? Syndio is a Series-C technology company committed to fairness in the workplace. Fueled by investments of $83M from Bessemer Ventures, Voyager Capital and social change organization Emerson Collective, Syndio is investing in growing our team and products.
This is a critical moment when organizations are looking for ways to take tangible action to fight gender and racial bias, and we believe creating diverse and inclusive workplaces for all starts with workplace fairness.
Does leveraging data science to empower organizations to fairly and equitably hire, promote, retain and compensate people excite you? Are you looking to join a fast-paced start-up where you can contribute meaningful work that drives the business forward? We are looking for a self-motivated Data Scientist with a passion for developing and testing models that help us close the equity gap. As the premier workplace equity software company, innovation is our lifeblood and we want someone to join us in the journey of discovering what new possibilities data science can unlock.",5.0,"Syndio
5.0",Remote,1 to 50 Employees,2017,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist (Remote),-1,"Looking for Data Scientist with GCP or Vertex AI exp
Job Type: Full-time
Schedule:
8 hour shift
Experience:
GCP: 3 years (Preferred)
Vertex: 3 years (Preferred)
Work Location: Remote",-1,Aerosapien Technologies LLC,Remote,1 to 50 Employees,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$80 Per Hour,"Trobus Technologies is looking for a highly motivated and experienced Data Scientist to assist with developing the next-generation AI/ML operational platforms for Credit Risk/rating Modeling with a client based in New York. The role will require hands-on experience with development of Consumer Credit Rating Models and its optimization, automation of Credit rating scorecard models, specifying machine learning workflows, feature extraction/feature definition, data validation, and model lifecycle management. The candidate must have a deep understanding of Credit rating scorecard modeling and AI/ML modeling . He/she should be willing to mentor junior analysts and lead an analytical project from inception to implementation and be able to partner with technology teams to bring models to production.
What you’ll be doing
Deliver customized solutions across the customer lifecycle for financial institutions. This includes but is not limited to the development of customer management scorecards of application, behavioral and collection risk scorecards, FICO, Basel III PD, CCF and LGD models, customer life cycle strategies of approval, limit, price and early warning.",-1,"Trobus Technologies,LLC",Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$100K - $175K,"As a Product Data Scientist, you will use data to be an advocate for our players.
Your insights into what users are doing on the platform will inform the kinds of features and products we build.
You'll be equal parts investigator and storyteller, shaping experiences towards delighting players and building a sustainable business.
As we scale, our Product Data Scientists will embed within individual teams, allowing you to develop deep context and empower you to provide strategic value.
You might be helping the econ team think through how to scale the buyer and builder ecosystem, or helping the growth team think through how to give users more reason to return to the app.",-1,SolluCIO Partners,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,$108K - $170K (Glassdoor est.),"Overview
Interested in creating balance between productivity and wellbeing in the workplace? Come join us! Viva Insights aims to create cultures where people and business thrive by reimagining how people and organizations should work together. We are here to help employees feel better and be better at work. Learn more about Viva Insights: Improve Employee Wellbeing | Microsoft Viva Insights
Viva Insights Behavioral Science, Data Science and Product Analytics is a team of data scientists and behavioral scientists that work together to leverage advanced analytics, ML/AI techniques, and behavioral research to find new ways to measure human behavior, drive specific, measurable, and impactful improvements to the Viva Insights product, and conduct research to discover new interventions to help our customers thrive at work. In an environment of high opportunity and impact, we are looking for a strong and experienced Data Scientist to help conduct and apply research within the Viva Insights portfolio of products. This person will create models and help design and research interventions that are intended to support our customers’ goals. The person in this role will work with our product team and the broader Microsoft research community to bring validated findings from internal research and research from the field into our product strategy. He or she will also work with our product teams to inject data science expertise into the features and design of the products.",4.4,"Microsoft
4.4","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Senior Data Scientist - International,Employer Provided Salary:$123K - $179K,"Your Job
As a Senior Data Scientist embedded in the International Team team, you will be tasked with building machine learning solutions to help improve the efficiency of software delivery at Indeed. You will work on interesting and important challenges that range from designing algorithms for quicker regression testing to building tools that can automate root cause analysis. Through your work, Indeed software developers will be able to quickly get their solutions into production, find and fix bugs, and improve the quality of their code.

The International Team works to make all of Indeed’s products effective at getting people hired, in every market and language. This involves translating the needs of specific markets into configuration patterns that let us scale those variations worldwide. We consider both sides of the experience, meaning that we internationalize employer-facing products (such as posting jobs and managing candidates) and jobseeker-facing products (such as mobile job search, updating profiles, and messaging-app based experiences). Most importantly, the team is expected to deliver results, and be able to demonstrate the impact our changes have on our business.






We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.4,"Indeed
4.4",Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
Data Scientist,Employer Provided Salary:$75K - $100K,"Employment Information
Job Title: Data Scientist
Supervisor: Director
Term: Permanent
Schedule: Full Time
FLSA Status: Exempt
Salary: $75,000 – $100,000
Job Description
GSSA, LLC, a progressive political consulting firm, is actively seeking an experienced data professional to fill the position of Data Scientist. The Data Scientist reports to the Director and is responsible for gathering, assessing, and presenting data from voter databases, public opinion polls, the U.S. Census Bureau and other sources; identifying and interpreting meaningful patterns; conducting randomized control trials (experiments); and compiling visualizations and reports. The ideal candidate has, at minimum, a basic familiarity with statistics and predictive analytics. The successful candidate will be able to not only analyze data but also communicate findings in a compelling way, turning complex datasets into insights that drive campaign strategy and decision-making.",-1,"GSSA, LLC",Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$170K,"Moodys Northwest Consulting looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms",-1,Moodys Northwest consulting,"Bellevue, WA",-1,-1,-1,-1,-1,-1
Data Scientist,$139K - $276K (Employer est.),"We are currently seeking a Senior Data Scientist for a full time, permanent position (remote).
The Data Science team builds machine learning models that recommend best-match candidates for jobs. The team’s mission is to build the world’s best AI matchmaker that can connect all jobs with the right jobseekers.
Responsibilities
Build highly scalable and performant recommendation systems and technologies that can identify best matches between millions of jobs and millions of job seekers in real-time
Experiment with POC ML model improvements, scale them to production, and run iterative AB experiments to improve our matching technology",4.6,"Comcentric
4.6","Phoenix, AZ",51 to 200 Employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Data Scientist & NLG Developer,$139K - $276K (Employer est.),"Arria Boost is looking for talented data scientists with a passion for sports to develop models that will power our sports intelligence platform. The Arria Boost AI engine programmatically transforms complex data into compelling, personalized, scalable data stories for coaches, media, sportsbooks, and publishers.
What you’*ll be doing*
Statistical modeling and quantitative analysis across multiple sports, focusing on team and player evaluation
Developing predictive and descriptive models that can be used to create a narrative of team and player performance across time
Performing ad hoc analysis to discover trends and provide recommendations on team and player performance",-1,Arria NLG,Remote,-1,-1,-1,-1,-1,-1
"Senior Data Scientist, Analytics",$139K - $276K (Employer est.),"Discord is looking for experienced and passionate data scientist to join our small-but-growing Data Science team! As a member of the Data Science team, you will help Discord achieve its mission of providing people with a sense of belonging in online communities, by collaborating directly with the teams who design, build, and support Discord. If you're passionate about data, impact, and working on an amazing team, read on!",4.4,"Discord
4.4","San Francisco, CA",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
Data Scientist,$139K - $276K (Employer est.),"Travel Required: Less than 10%
Public Trust: None
Requisition Type: Pipeline
Experience leading big data analytics and big data platforms like Hadoop.
Lead data sciences research and analysis projects, providing oversight and course corrections as required.
Oversee and design research and analysis to improve business performance across and within multiple departments.",3.9,"General Dynamics Information Technology
3.9",Remote,10000+ Employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$2 to $5 billion (USD)
"Data Scientist, Simulation",$139K - $276K (Employer est.),"We are looking for a Data Scientist who has experience with large-scale simulation analysis and sensitivity analysis, and has the context and insight into how the decentralized finance industry works. We want someone who strongly believes that blockchains, smart contracts and Web3 are the future.
Your Impact
Research and summarize the best practices of decentralized finance, application protocol design and community development
Actively lead and conceptualize different approaches to token economic design, incentive mechanisms, and protocol structure by understanding the latest developments
Build effective databases, network modeling, simulation systems, and synthesizing insights / learnings into comprehensive research reports for delivery to the executive team",4.8,"Chainlink Labs
4.8",Remote,51 to 200 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Jr. Data Scientist,$139K - $276K (Employer est.),"Paramount Global (NASDAQ: PARA, PARAA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic studios, networks and streaming services, Paramount's portfolio of consumer brands includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. Paramount delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, the company provides powerful capabilities in production, distribution and advertising solutions.
Advertising on all formats is being reinvented through new business models and the combination of big data, predictive analytics, optimization and other modern data science and analysis techniques. Paramount's Advanced Advertising Group is at the forefront of this reinvention of advertising and is currently looking for key new individuals to join our team!

The Product Science and Analytics team is looking for a Junior Data Scientist. In this role, you will need to gain an understanding of our platform, including the predictive, simulation, and optimization models that power it – as well as how those models impact our underlying business. You will be expected to monitor and maintain existing prediction, optimization, and simulation engines. You will also implement custom queries against our data warehouse, run statistical data analyses, and other types of analyses related to platform performance. You will work closely with a dedicated science and software engineering team, as well as key operational teams, to validate and ensure platform KPI performance!


Work with data scientists, data engineers, and software engineers to deliver analysis aimed at underlying business objectives
Execute data driven methodologies to improve product performance and capability
Monitor and maintain platform health, as determined by Vantage business leadership
Ensure technical approaches taken by the Science and Analysis team are appropriate for their objective and underlying data structure
Brainstorm new functionality and features for future platform improvements
Work with semi-technical and non-technical business units in delivering actionable insights from large data sets


Passion for problem-solving and the ability to find answers to difficult questions – the sort of answers that others might struggle to find
Acute attention to detail, strong critical thinking skills, and excellent time management skills
Experience working with production data science systems
Proficiency with extracting insights from large data sets and communicating the results to non-technical staff
Highly proficient in Excel (advanced formulas, pivot tables) and PowerPoint
Comfortable programming in Python and SQL
Basic grasp of relational database structures and data management
Familiarity with cloud-based infrastructure (Amazon Web Services) or Unix/Linux based systems.
Bachelor’s Degree in a STEM field with 2+ years professional experience in data analytics, media tech or ad tech -OR- Master’s/Ph.D. in a STEM field.


Experience in media at an agency, network, or ad-tech firm with a fundamental understanding of digital, addressable, programmatic and/or television advertising
Experience working in a team environment
Strong written and oral communication skills, including experience building and leading presentations
A committed, entrepreneurial approach to building businesses within a fast-paced environment focused on changing the way partners perceive our brand and our product

Paramount is an equal opportunity employer (EOE) including disability/vet.

At Paramount, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. Paramount is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.paramount.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",3.8,"Paramount
3.8","New York, NY",1 to 50 Employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
